FACTORY ID,KEYTYPE ID,COUNT,UPPER_LIMIT,CRITICAL_LOWER_LIMIT,WARNING_LOWER_LIMIT,LAST_LOADED
CENTRAL,203,99000,10000,3300,6600,02-MAR-2015 09:18:20
CENTRAL,841,9000,0,-1,-1,03-APR-2015 09:38:38
CENTRAL,802,790000,1000000,330000,660000,06-APR-2015 15:15:11
CENTRAL,756,3733,20000,1000,3000,21-APR-2015 12:53:58
CENTRAL,801,1134317,1000000,330000,660000,24-APR-2015 13:59:08
CENTRAL,780,9700,0,-1,-1,24-APR-2015 14:44:08
CENTRAL,781,1000000,1000000,330000,660000,24-APR-2015 16:04:08
CENTRAL,70,119538,200000,66000,100000,19-MAY-2015 10:18:11
CENTRAL,762,4500,10000,1000,3000,28-MAY-2015 16:44:19
CENTRAL,171,23099400,23000000,7590000,15180000,11-JUN-2015 19:10:37
CENTRAL,173,1842354,2000000,660000,1320000,25-JUN-2015 14:41:07
CENTRAL,193,3254980,3000000,990000,1980000,01-JUL-2015 20:15:13
CENTRAL,219,181648,200000,66000,132000,02-JUL-2015 15:16:28
CENTRAL,167,296,500,150,250,10-JUL-2015 00:05:33
CENTRAL,169,9185232,10000000,3300000,6600000,13-JUL-2015 11:12:52
CENTRAL,112,7277,50000,1000,5000,15-JUL-2015 09:12:58
CENTRAL,41,1427792,1000000,330000,660000,31-JUL-2015 16:18:46
CENTRAL,903,1000000,1000000,330000,660000,14-AUG-2015 16:20:29
CENTRAL,209,10016454,10000000,3300000,6600000,14-AUG-2015 17:32:19
CENTRAL,99997,6192158,0,0,0,17-AUG-2015 12:10:27
CENTRAL,620,58000000,58000000,19140000,38280000,19-AUG-2015 19:02:44
CENTRAL,916,9596,10000,3300,6000,18-SEP-2015 13:42:00
CENTRAL,85,68362,70000,23100,46200,08-OCT-2015 09:13:37
CENTRAL,857,116968,300000,50000,100000,02-NOV-2015 17:04:53
CENTRAL,876,159465,0,-1,-1,02-NOV-2015 17:09:49
CENTRAL,796,118242,0,-1,-1,02-NOV-2015 17:14:49
CENTRAL,976,7000,0,-1,-1,20-NOV-2015 08:59:40
CENTRAL,779,14946978,19000000,6270000,12540000,11-DEC-2015 17:48:36
CENTRAL,206,3845000,800000,264000,528000,30-DEC-2015 14:57:00
CENTRAL,1079,9697,0,-1,-1,22-FEB-2016 11:58:39
CENTRAL,1100,9600,0,-1,-1,06-APR-2016 17:37:07
CENTRAL,224,3360840,5000000,1650000,3300000,12-MAY-2016 11:49:07
CENTRAL,73,273242,100000,33000,66000,26-MAY-2016 11:29:27
CENTRAL,776,1765616,1000000,330000,660000,27-MAY-2016 12:31:04
CENTRAL,97,15756,50000,5000,10000,08-JUN-2016 12:08:19
CENTRAL,766,11672981,10000000,3300000,6600000,14-JUN-2016 12:59:11
CENTRAL,777,7505091,8000000,3000000,5000000,14-JUN-2016 13:59:11
CENTRAL,1124,189154,200000,100000,140000,14-JUN-2016 14:03:35
CENTRAL,1098,250000,300000,100000,200000,23-JUN-2016 11:59:03
CENTRAL,958,309900,300000,100000,200000,26-JUL-2016 15:18:32
CENTRAL,210,6949985,10000000,3000000,6000000,26-AUG-2016 14:20:53
CENTRAL,1056,200871,200000,80000,120000,20-SEP-2016 11:05:53
CENTRAL,55,7109599,12000000,1500000,2500000,28-OCT-2016 17:19:13
CENTRAL,42,2623309,1000000,330000,660000,10-NOV-2016 16:13:05
CENTRAL,901,8010225,12000000,4000000,8000000,14-NOV-2016 22:43:16
CENTRAL,200,8064904,6000000,1980000,3000000,23-NOV-2016 12:15:35
CENTRAL,43,1623392,1000000,200000,250000,01-DEC-2016 13:58:58
CENTRAL,775,4377535,6000000,2000000,4000000,16-DEC-2016 16:24:57
CENTRAL,1256,825968,0,-1,-1,16-DEC-2016 16:44:57
CENTRAL,1037,4354973,3000000,100000,200000,19-DEC-2016 19:30:07
CENTRAL,1177,490000,500000,100000,200000,22-DEC-2016 12:18:59
CENTRAL,65,640327,1000000,1000,2000,12-JAN-2017 15:30:24
CENTRAL,1238,4670000,5000000,1000000,3000000,18-JAN-2017 11:25:39
CENTRAL,1176,300000,300000,-1,-1,19-JAN-2017 17:15:43
CENTRAL,1178,290000,300000,-1,-1,25-JAN-2017 16:46:27
CENTRAL,1278,283966,0,-1,-1,01-FEB-2017 16:31:16
CENTRAL,1297,157891,0,-1,-1,23-FEB-2017 11:52:12
CENTRAL,1277,183000,0,-1,-1,27-FEB-2017 16:02:23
CENTRAL,155,2265388,1000000,330000,660000,06-MAR-2017 16:17:41
CENTRAL,1322,399863,200000,50000,100000,09-MAR-2017 19:18:44
CENTRAL,1323,269948,0,-1,-1,20-MAR-2017 15:58:24
CENTRAL,66666,66875,300000,40000,40000,11-APR-2017 01:58:13
CENTRAL,1336,159996,200000,100000,140000,16-MAY-2017 10:34:44
CENTRAL,1357,300000,300000,100000,200000,07-JUN-2017 16:08:24
CENTRAL,101,32541300,15000000,4950000,9900000,15-JUN-2017 11:03:49
CENTRAL,1349,9913757,1000000,200000,500000,19-JUN-2017 17:24:02
CENTRAL,1324,9516014,10000000,3000000,7000000,19-JUN-2017 17:48:07
CENTRAL,1359,286996,300000,100000,200000,21-JUN-2017 13:23:12
CENTRAL,1356,110095,200000,50000,100000,14-JUL-2017 15:20:27
CENTRAL,59,27159607,4000000,1300000,2500000,17-JUL-2017 16:30:02
CENTRAL,20,8170944,6000000,1000000,3000000,21-JUL-2017 13:45:48
CENTRAL,1380,1000,5000,100,500,27-JUL-2017 08:15:26
CENTRAL,1379,870000,1000000,300000,700000,27-JUL-2017 17:13:05
CENTRAL,1403,175842,300000,50000,150000,15-AUG-2017 10:48:02
CENTRAL,1318,91939,100000,20000,50000,28-SEP-2017 11:45:12
CENTRAL,11,3333382,1000000,330000,660000,13-OCT-2017 21:26:31
CENTRAL,1439,4990000,5000000,2000000,3500000,21-NOV-2017 13:04:50
CENTRAL,1460,488553,300000,100000,200000,29-NOV-2017 14:46:22
CENTRAL,1402,3075833,3000000,1000000,2000000,12-DEC-2017 21:20:42
CENTRAL,1483,870000,1000000,300000,650000,22-DEC-2017 11:22:51
CENTRAL,67,7328239,14000000,3000000,5000000,22-MAR-2018 13:16:10
CENTRAL,1464,988700,1000000,400000,700000,22-MAR-2018 15:50:36
CENTRAL,1549,153815,300000,100000,150000,26-MAR-2018 11:15:49
CENTRAL,1545,300000,300000,100000,200000,27-MAR-2018 10:20:57
CENTRAL,1546,300000,300000,100000,200000,27-MAR-2018 10:25:53
CENTRAL,1197,7504949,5000000,1000000,3000000,27-MAR-2018 11:40:57
CENTRAL,1553,420857,300000,100000,200000,29-MAR-2018 15:16:01
