Revision,Indicator,AtlasProjectName,Milestone,Date,WW,ChangedColumn,OldValue,NewValue
"Rev 4 (2026-06-18)",NEW,"Titan Lake HUB-H 4LPE Die","Tape In","2028-03-25T00:00:00.000Z","202813",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Titan Lake H2 Product","QS","2028-09-30T00:00:00.000Z","202840",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Titan Lake HUB-H 4LPE Die","Sort PO*","2027-12-17T00:00:00.000Z","202751",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Nova Lake S 28C (Dunlow) Product","PO Start","2026-04-03T00:00:00.000Z","202614",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Titan Lake H2 Product","PO Start","2028-07-08T00:00:00.000Z","202828",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Nova Lake S 28C (Dunlow) Product","PO Start","2026-08-28T00:00:00.000Z","202635",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Nova Lake S 28C (Dunlow) Product","ES2","2026-07-16T00:00:00.000Z","202629",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Razor Lake CPU 4P+0E Int Die","Tape In","2027-09-03T00:00:00.000Z","202736",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Razor Lake H 12Xe Product","PO Start","2027-08-13T00:00:00.000Z","202733",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Razor Lake H 4Xe Product","PO Start","2027-07-30T00:00:00.000Z","202731",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Titan Lake H4 Product","PO Start","2028-06-10T00:00:00.000Z","202824",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Titan Lake HUB-H 4LPE Die","Sort PO*","2028-07-01T00:00:00.000Z","202827",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Titan Lake H2 Product","PRQ","2028-11-18T00:00:00.000Z","202847",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"NVL S 52C BLLC (Dunlow) 125W Product","PO Start","2027-01-15T00:00:00.000Z","202703",N/A,N/A,N/A
"Rev 4 (2026-06-18)",NEW,"Titan Lake H4 Product","PO Start","2028-01-29T00:00:00.000Z","202805",N/A,N/A,N/A
