"ProductGroupNm","DesignItemDsc","RevStepCd","SpeedDesignId","YearQuarterTxt","YearMonthTxt","MfgLocationCd","DesignItemMilestone","MfgLocationStage","KF_Qty"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT-TEST","B0","10070459","202701","202701","T90","QS","TEST","127288"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT-TEST","B0","10070459","202701","202701","VAL","POS","TEST","9316"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT-TEST","B0","10070459","202701","202702","T90","QS","TEST","643209"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT-TEST","B0","10070459","202701","202702","VAL","POS","TEST","42133"
"NOVA LAKE","NOVA LAKE P (B0) PRODUCT-TEST","B0","10070459","202701","202703","T90","QS","TEST","525221"
"NOVA LAKE","NOVA LAKE P PRODUCT","A0","10046219","202603","202609","T90","ES2","FINISH","41738"
"NOVA LAKE","NOVA LAKE P PRODUCT-TEST","A0","10046219","202603","202609","T90","ES2","TEST","18492"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT","C0","10044315","202603","202609","T90","QS","FINISH","136714"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202603","202609","T48","QS","TEST","244734"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202603","202609","T90","QS","TEST","68014"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202604","202610","T90","QS","TEST","192164"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202701","202703","T90","QS","TEST","249777"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202702","202704","T48","QS","TEST","303783"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202702","202704","T90","QS","TEST","293136"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202702","202705","T48","QS","TEST","408972"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202702","202705","T90","QS","TEST","174936"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202803","202808","T48","QS","TEST","173247"
"NOVA LAKE","NOVA LAKE PCH-S PRODUCT-TEST","C0","10044315","202803","202808","T90","QS","TEST","173247"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B0","10044320","202603","202609","VAL","POS","FINISH","16720"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B1","10044320","202603","202609","VAL","POS","FINISH","15020"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B1","10044320","202604","202610","T31","QS","FINISH","30512"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B1","10044320","202604","202611","T31","QS","FINISH","173872"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B1","10044320","202604","202612","T31","QS","FINISH","205456"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B1","10044320","202701","202703","T31","QS","FINISH","61334"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B6","10044320","202604","202612","T31","POS","FINISH","39600"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT","B6","10044320","202701","202701","T31","POS","FINISH","39600"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B0","10044320","202603","202609","VAL","POS","TEST","19778"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B1","10044320","202603","202609","T31","QS","TEST","12880"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B1","10044320","202603","202609","VAL","POS","TEST","3940"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B1","10044320","202604","202610","T31","QS","TEST","96326"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B1","10044320","202604","202611","T31","QS","TEST","300304"
"NOVA LAKE","NOVA LAKE S 16C PRODUCT-TEST","B1","10044320","202604","202612","T31","QS","TEST","233100"
